date,hospital_id,hospital_name,hospital_type,city,state,admissions,cholera_cases,typhoid_cases,gastroenteritis_cases,other_cases,bed_occupancy_rate,avg_patient_age,comorbidity_index,hospital_outbreak_flag
22-10-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,131,44,29,40,18,1,41.7,1.26,1
23-10-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,148,54,48,47,0,0.88,27.8,2.02,1
24-10-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,147,42,42,50,13,1,29.4,1.14,1
25-10-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,90,7,2,8,73,0.77,38,1.81,1
26-10-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,94,5,2,4,83,0.65,45.2,1.47,0
27-10-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,83,2,7,3,71,0.69,34.9,2,1
28-10-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,91,4,7,6,74,0.97,47,1.52,1
29-10-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,91,5,3,4,79,0.93,50.7,2.41,0
30-10-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,99,4,15,3,77,0.69,44.6,2.04,1
31-10-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,94,5,3,6,80,0.84,20,2.58,0
01-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,84,5,4,5,70,0.69,46.6,2.02,0
02-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,96,10,7,5,74,0.89,36.6,0.66,1
03-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,96,6,8,4,78,0.62,30.9,1.73,1
04-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,106,7,10,10,79,0.83,54.2,0.65,1
05-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,93,4,5,7,77,0.81,33.8,0.65,0
06-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,93,8,10,6,69,0.86,38.1,2.5,1
07-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,90,8,4,8,70,0.71,44.6,0.85,1
08-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,82,6,1,7,68,0.7,43.2,1.47,1
09-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,96,4,2,9,81,0.74,53.3,1.44,0
10-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,80,5,4,6,65,0.66,34,1.23,0
11-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,80,6,3,8,63,0.83,42,2.38,1
12-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,79,2,0,2,75,0.88,34.5,1.08,0
13-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,94,7,3,11,73,0.71,29.9,0.65,1
14-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,89,3,1,6,79,0.82,35.8,2.18,0
15-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,81,5,2,8,66,0.61,31,0.88,0
16-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,81,6,5,6,64,0.7,39.5,1.62,1
17-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,90,6,2,3,79,0.8,30.3,2.76,1
18-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,98,7,4,8,79,0.93,29.6,2.26,1
19-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,81,4,2,4,71,0.97,31.5,0.91,0
20-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,104,5,8,4,87,0.93,41.1,0.62,1
21-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,82,4,4,5,69,0.65,37.5,2.29,0
22-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,104,9,4,7,84,0.81,22,1.94,1
23-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,96,4,3,3,86,0.71,41,1.93,0
24-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,79,4,2,5,68,0.7,44.8,0.91,0
25-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,99,5,2,9,83,0.68,32.3,2.32,0
26-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,74,2,5,1,66,0.74,50,2.38,0
27-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,86,5,3,5,73,0.66,23.5,1.62,0
28-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,91,5,4,6,76,0.82,35.7,0.74,0
29-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,70,2,0,3,65,0.67,24.6,2.01,0
30-11-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,70,3,0,6,61,0.64,23.4,1.75,0
01-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,93,6,1,8,78,0.68,34.3,2.49,1
02-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,90,2,5,2,81,0.59,29.9,1.06,0
03-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,97,6,7,7,77,0.87,61.6,1.77,1
04-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,86,6,3,9,68,0.86,29.1,2.21,1
05-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,108,10,5,7,86,0.72,42.5,2.01,1
06-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,95,5,2,7,81,0.67,28.8,2.06,0
07-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,79,7,5,6,61,0.68,42,2.25,1
08-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,78,3,1,5,69,0.62,41.6,0.9,0
09-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,67,3,1,5,58,0.64,38.4,1.58,0
10-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,94,5,2,9,78,0.75,26.8,0.82,0
11-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,73,4,1,5,63,0.62,16.3,0.87,0
12-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,114,7,9,9,89,0.66,28.3,1.23,1
13-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,81,6,2,5,68,0.86,22.1,2.36,1
14-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,87,9,2,7,69,0.72,22.5,2.12,1
15-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,83,3,5,6,69,0.91,42,1.17,0
16-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,101,10,4,10,77,0.72,34.6,1.97,1
17-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,90,8,5,10,67,0.88,24.1,1.83,1
18-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,140,46,46,62,0,1,55,1.06,1
19-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,81,7,1,7,66,0.78,35.8,1.31,1
20-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,162,62,32,51,17,0.89,28.4,1.16,1
21-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,130,50,26,49,5,1,21.5,1.96,1
22-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,144,40,34,48,22,1,37.4,2.17,1
23-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,132,43,31,41,17,0.98,51.9,2.35,1
24-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,145,39,49,51,6,0.85,34.3,2.58,1
25-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,137,41,37,54,5,1,28.3,1.06,1
26-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,135,47,31,50,7,0.98,56.8,1.24,1
27-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,142,36,46,50,10,1,34.4,2.2,1
28-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,160,58,47,68,0,0.78,48.6,2.1,1
29-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,144,47,37,59,1,0.9,23.6,2.18,1
30-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,79,3,2,4,70,0.58,25.4,2.73,0
31-12-2025,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,84,6,5,5,68,0.7,31.4,1.86,1
01-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,80,4,2,7,67,0.9,41.7,2.3,0
02-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,107,7,5,7,88,0.88,39.1,0.87,1
03-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,72,3,0,5,64,0.81,41.5,0.81,0
04-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,86,6,11,5,64,0.61,42.1,0.69,1
05-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,88,9,4,7,68,0.79,27.7,2.77,1
06-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,80,3,8,4,65,0.72,43.9,1.94,1
07-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,85,5,6,4,70,0.75,37.6,2.03,0
08-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,102,7,8,8,79,0.95,44.6,2.51,1
09-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,75,4,5,3,63,0.94,39.2,1.94,0
10-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,157,57,43,63,0,1,39.4,1.68,1
11-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,152,44,33,46,29,0.9,28.9,2.65,1
12-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,156,50,38,65,3,1,50.3,0.73,1
13-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,146,38,29,55,24,0.97,28.3,2.34,1
14-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,158,56,45,58,0,1,18.6,0.93,1
15-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,120,32,37,44,7,1,33.5,2.02,1
16-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,156,49,39,63,5,1,32.6,0.88,1
17-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,152,40,32,59,21,0.84,38.9,1.84,1
18-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,91,5,5,12,69,0.72,30,1.43,1
19-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,131,45,37,58,0,1,36.8,2.19,1
20-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,134,38,37,54,5,0.92,48.9,1.58,1
21-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,66,2,0,3,61,0.87,56.9,1.87,0
22-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,90,6,1,5,78,0.76,37.9,1.36,1
23-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,93,4,6,6,77,0.6,23.2,0.81,0
24-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,104,7,5,10,82,0.65,32,1.72,1
25-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,69,4,0,5,60,0.85,48.8,1.07,0
26-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,101,11,4,10,76,0.96,44,1.15,1
27-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,80,4,6,3,67,0.86,32.8,2.14,0
28-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,79,2,1,5,71,0.78,41.1,2.09,0
29-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,118,10,4,11,93,0.77,42.8,0.84,1
30-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,76,5,14,3,54,0.73,25.6,0.71,1
31-01-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,83,2,1,3,77,0.87,40.5,2.03,0
01-02-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,94,4,3,4,83,0.82,34.2,2.39,0
02-02-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,82,6,7,5,64,0.78,20,1.33,1
03-02-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,77,4,3,5,65,0.88,53.6,1.66,0
04-02-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,95,5,11,7,72,0.96,22.9,2.38,1
05-02-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,90,5,3,7,75,0.81,43.9,1.84,0
06-02-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,84,4,1,6,73,0.91,31.2,2,0
07-02-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,76,3,2,3,68,0.65,40.9,0.67,0
08-02-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,90,6,2,7,75,0.63,59.5,1.04,1
09-02-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,89,3,1,4,81,0.9,51.3,2.38,0
10-02-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,75,5,5,4,61,0.76,27.9,2.24,0
11-02-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,79,2,4,2,71,0.85,36,2.23,0
12-02-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,94,6,2,6,80,0.98,29.3,1.96,1
13-02-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,78,3,3,5,67,0.67,54.8,2.57,0
14-02-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,78,6,5,5,62,0.71,48.9,2.45,1
15-02-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,86,4,1,5,76,0.61,21,2.72,0
16-02-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,89,6,1,8,74,0.86,34.3,1.42,1
17-02-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,81,4,3,7,67,0.71,42.2,1.85,0
18-02-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,78,5,1,5,67,0.73,39.4,1.26,0
19-02-2026,PUB_NIMHANS_BLR,NIMHANS,public,Bengaluru,Karnataka,63,2,0,2,59,0.92,46.2,1.95,0
24-08-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,97,9,7,25,56,0.89,23.3,2.45,1
25-08-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,102,7,7,24,64,0.94,35.5,1.55,1
26-08-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,93,7,2,14,70,0.98,37.2,2.68,1
27-08-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,102,16,7,15,64,0.67,28.9,0.74,1
28-08-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,95,11,4,18,62,0.72,39.7,2.71,1
29-08-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,97,5,5,14,73,0.79,39,2.04,1
30-08-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,92,9,5,13,65,0.95,18.6,0.62,1
31-08-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,76,2,1,7,66,0.64,39.1,0.8,0
01-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,93,14,8,16,55,0.97,20.7,2.5,1
02-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,86,7,4,12,63,0.67,46.1,0.63,1
03-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,96,4,3,14,75,0.81,20.9,2.63,1
04-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,104,16,5,23,60,0.89,23.1,2.02,1
05-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,97,7,9,3,78,0.87,52.9,1.54,1
06-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,97,11,4,19,63,0.71,48.3,2.03,1
07-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,104,7,7,17,73,0.93,50.8,2.62,1
08-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,94,7,3,11,73,0.74,26.6,2.73,1
09-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,101,11,16,11,63,0.66,46.8,1.45,1
10-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,95,9,8,16,62,1,38.5,1.4,1
11-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,106,10,7,17,72,0.75,51,1.51,1
12-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,102,15,10,19,58,0.69,36.3,2.19,1
13-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,111,7,4,18,82,0.84,16.4,1.23,1
14-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,98,7,5,20,66,1,33.4,1.69,1
15-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,96,8,7,11,70,0.63,31.8,2.75,1
16-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,81,11,5,14,51,0.64,35.9,1.84,1
17-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,100,10,10,13,67,0.81,35.4,0.79,1
18-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,84,9,7,17,51,0.83,36.5,2.09,1
19-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,106,9,6,23,68,0.7,20.2,1.7,1
20-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,78,5,5,15,53,0.72,23.5,1.67,1
21-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,90,12,9,14,55,0.63,39.6,0.86,1
22-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,87,8,7,8,64,0.73,48.9,2.25,1
23-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,113,17,10,17,69,0.82,67.4,2.23,1
24-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,79,4,3,12,60,0.83,16.1,0.83,1
25-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,110,11,8,22,69,0.97,43.2,2.4,1
26-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,110,15,6,21,68,0.62,69.2,1.38,1
27-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,96,10,7,20,59,0.78,42.4,1.74,1
28-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,97,11,9,16,61,0.67,30.5,0.96,1
29-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,99,9,16,18,56,0.88,44.5,0.6,1
30-09-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,104,11,8,20,65,0.89,39.5,1.63,1
01-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,119,9,15,14,81,0.69,26.7,1.39,1
02-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,112,9,4,12,87,0.68,32.6,0.78,1
03-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,103,8,4,14,77,0.77,24.3,2.79,1
04-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,79,6,2,12,59,0.73,39.5,2.03,1
05-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,74,3,0,7,64,0.77,59.8,2.71,0
06-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,95,3,3,13,76,0.97,51.8,2.33,1
07-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,97,4,2,12,79,0.93,30.3,0.91,1
08-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,103,5,4,18,76,0.78,49.7,1.71,1
09-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,98,5,7,10,76,0.66,53.2,1.53,1
10-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,100,6,8,7,79,0.69,28.3,1.99,1
11-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,88,8,3,19,58,0.73,45.3,1.93,1
12-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,89,6,5,11,67,0.9,34.1,1.63,1
13-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,92,3,4,8,77,0.76,43.9,1.27,0
14-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,92,6,2,18,66,0.67,32.1,0.7,1
15-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,81,2,5,8,66,0.61,23.3,0.85,0
16-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,80,5,6,16,53,0.83,45.1,2.16,1
17-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,92,7,8,6,71,0.83,47.2,1.29,1
18-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,90,4,0,12,74,0.71,21.6,0.88,1
19-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,94,7,3,9,75,0.82,35.2,1.78,1
20-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,93,2,2,5,84,0.88,39.1,1.1,0
21-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,82,6,2,14,60,0.95,24.5,2.61,1
22-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,90,7,5,12,66,0.6,27.8,1.03,1
23-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,83,8,8,11,56,0.62,41.8,2.43,1
24-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,92,7,8,8,69,0.78,28,1.46,1
25-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,148,54,35,66,0,0.83,49.3,0.99,1
26-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,99,8,11,15,65,0.82,35.2,1.58,1
27-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,144,56,30,55,3,0.87,42.9,1.8,1
28-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,135,40,35,56,4,0.93,32.3,2.35,1
29-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,124,32,34,39,19,0.79,20.3,2.7,1
30-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,149,53,46,46,4,1,33.4,1.55,1
31-10-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,144,37,40,50,17,0.88,35.6,2.64,1
01-11-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,139,47,38,52,2,0.77,25.7,1.58,1
02-11-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,162,48,42,55,17,0.85,20.9,2.37,1
03-11-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,145,51,40,48,6,0.99,34,2.46,1
04-11-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,144,41,33,56,14,0.84,42.8,2.51,1
05-11-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,83,4,4,10,65,0.62,56.3,0.99,0
06-11-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,139,47,34,43,15,1,41.5,1.83,1
07-11-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,157,39,36,49,33,1,35.4,2.34,1
08-11-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,130,50,28,56,0,0.87,31.5,2.54,1
09-11-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,141,56,26,48,11,1,34.1,1.09,1
10-11-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,155,45,36,62,12,0.81,45.6,1.78,1
11-11-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,115,39,26,41,9,1,26.7,2.21,1
12-11-2025,PUB_KGMU_LKO,King George’s Medical University,public,Lucknow,Uttar Pradesh,148,47,30,60,11,0.85,38,2.08,1
