date,hospital_id,hospital_name,hospital_type,city,state,admissions,cholera_cases,typhoid_cases,gastroenteritis_cases,other_cases,bed_occupancy_rate,avg_patient_age,comorbidity_index,hospital_outbreak_flag,tenant_profile
26-09-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,46,7,2,3,34,1.0,34.8,2.08,1,default
27-09-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,24,2,2,1,19,0.99,33.9,2.49,0,default
28-09-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,50,7,2,5,36,0.99,58.2,0.91,1,default
29-09-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,33,3,2,0,28,0.76,28.6,2.43,0,default
30-09-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,38,5,3,4,26,0.94,36.3,2.12,0,default
01-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,31,1,3,1,26,0.72,32.7,2.25,0,default
02-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,29,1,7,1,20,0.73,23.7,2.0,1,default
03-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,20,1,1,1,17,0.82,54.6,0.83,0,default
04-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,22,0,0,0,22,0.7,62.3,1.02,0,default
05-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,21,1,0,1,19,0.89,17.7,2.05,0,default
06-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,33,2,3,1,27,0.9,17.0,1.32,0,default
07-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,30,1,1,0,28,0.65,14.3,1.07,0,default
08-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,31,2,1,2,26,0.77,32.1,0.92,0,default
09-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,38,3,2,2,31,0.76,20.2,1.92,0,default
10-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,27,2,1,1,23,1.0,40.7,1.83,0,default
11-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,36,1,3,3,29,0.93,30.2,2.7,0,default
12-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,38,11,11,16,0,1.0,46.7,0.98,1,default
13-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,46,18,12,15,1,0.8,37.6,2.56,1,default
14-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,54,18,18,20,0,0.76,18.4,2.02,1,default
15-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,36,12,9,11,4,0.93,30.9,2.42,1,default
16-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,55,21,18,16,0,1.0,38.0,1.37,1,default
17-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,46,16,10,19,1,0.92,24.4,2.54,1,default
18-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,62,20,14,27,1,0.88,37.8,1.65,1,default
19-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,54,14,14,19,7,1.0,43.2,2.38,1,default
20-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,33,2,2,2,27,0.74,18.1,1.31,0,default
21-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,30,1,3,2,24,0.72,41.5,1.95,0,default
22-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,50,18,13,15,4,0.75,40.3,1.55,1,default
23-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,47,16,16,19,0,1.0,33.6,1.08,1,default
24-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,47,18,14,19,0,0.9,53.4,2.79,1,default
25-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,62,22,20,22,0,1.0,17.4,2.79,1,default
26-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,49,16,16,19,0,1.0,36.9,2.01,1,default
27-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,60,20,13,25,2,0.81,35.6,0.73,1,default
28-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,47,12,10,14,11,0.9,22.9,1.41,1,default
29-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,55,15,14,19,7,1.0,44.9,1.35,1,default
30-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,40,10,10,13,7,1.0,29.6,2.37,1,default
31-10-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,29,1,1,1,26,0.95,28.2,0.63,0,default
01-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,52,16,11,22,3,0.97,34.2,0.64,1,default
02-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,33,2,1,2,28,0.78,35.4,1.68,0,default
03-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,34,2,3,2,27,0.78,52.3,2.28,0,default
04-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,33,2,1,1,29,0.84,45.2,1.57,0,default
05-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,30,0,0,0,30,0.63,30.8,1.9,0,default
06-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,21,0,0,0,21,0.75,38.3,1.3,0,default
07-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,33,2,1,0,30,0.86,44.4,2.1,0,default
08-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,26,1,1,1,23,0.85,19.0,2.6,0,default
09-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,33,2,3,2,26,0.68,29.8,0.68,0,default
10-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,35,1,3,1,30,0.65,29.4,1.71,0,default
11-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,37,3,3,1,30,1.0,65.0,1.65,0,default
12-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,30,2,2,2,24,0.69,54.4,2.16,0,default
13-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,39,3,3,2,31,0.6,52.1,2.08,0,default
14-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,35,3,4,2,26,0.92,41.1,1.65,0,default
15-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,44,4,4,2,34,0.79,34.8,2.31,0,default
16-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,37,3,1,1,32,0.6,40.4,2.28,0,default
17-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,30,2,0,1,27,0.88,28.0,2.12,0,default
18-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,27,1,2,1,23,0.92,29.8,2.65,0,default
19-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,30,0,1,0,29,0.57,27.0,1.87,0,default
20-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,28,1,1,2,24,0.91,44.0,0.72,0,default
21-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,21,1,0,1,19,0.89,41.3,1.77,0,default
22-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,27,1,1,0,25,0.7,23.0,1.51,0,default
23-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,27,1,0,1,25,0.77,40.3,1.38,0,default
24-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,37,2,5,2,28,0.88,48.8,2.54,0,default
25-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,33,2,2,2,27,0.75,38.6,2.39,0,default
26-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,26,2,2,1,21,0.65,26.3,1.27,0,default
27-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,33,2,1,1,29,0.77,41.9,1.15,0,default
28-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,24,1,2,0,21,0.99,40.5,2.47,0,default
29-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,34,2,1,1,30,0.71,51.3,0.76,0,default
30-11-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,36,1,2,1,32,0.96,57.6,1.33,0,default
01-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,31,3,2,2,24,0.66,47.3,1.48,0,default
02-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,34,3,4,2,25,0.84,34.5,2.78,0,default
03-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,38,3,2,2,31,0.97,31.4,2.16,0,default
04-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,28,3,1,1,23,0.72,39.1,2.13,0,default
05-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,37,2,3,1,31,0.8,51.2,0.64,0,default
06-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,34,2,1,1,30,0.88,40.9,2.04,0,default
07-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,19,1,1,0,17,0.9,37.6,1.37,0,default
08-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,31,3,2,2,24,0.9,23.1,1.54,0,default
09-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,29,0,0,1,28,0.89,27.5,2.74,0,default
10-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,25,1,1,0,23,0.77,35.7,1.46,0,default
11-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,26,2,2,1,21,0.83,33.2,0.93,0,default
12-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,22,1,1,0,20,0.65,27.9,1.03,0,default
13-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,31,2,0,1,28,0.96,22.1,1.53,0,default
14-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,32,2,1,2,27,0.69,45.5,1.11,0,default
15-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,28,2,0,2,24,0.83,44.3,1.11,0,default
16-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,21,0,0,0,21,0.93,49.3,1.19,0,default
17-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,32,0,3,1,28,0.72,58.7,2.09,0,default
18-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,35,3,3,2,27,0.87,42.7,1.84,0,default
19-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,27,1,1,0,25,0.89,36.9,1.75,0,default
20-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,27,1,0,2,24,0.92,46.8,1.63,0,default
21-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,30,1,2,2,25,0.92,44.2,1.13,0,default
22-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,38,2,3,2,31,0.85,20.4,2.41,0,default
23-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,19,0,2,1,16,0.63,34.7,1.47,0,default
24-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,28,3,2,2,21,0.94,49.7,2.4,0,default
25-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,35,1,0,1,33,0.64,30.5,1.58,0,default
26-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,26,1,1,1,23,0.79,47.6,2.49,0,default
27-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,31,1,1,0,29,0.93,42.6,0.61,0,default
28-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,35,3,3,3,26,0.79,33.8,2.61,0,default
29-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,33,3,1,1,28,0.91,48.8,2.62,0,default
30-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,32,1,0,2,29,0.76,42.5,1.87,0,default
31-12-2025,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,31,1,1,1,28,0.64,41.4,1.78,0,default
01-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,29,2,1,2,24,0.65,37.8,1.46,0,default
02-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,29,4,1,2,22,0.96,42.6,2.42,0,default
03-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,44,2,2,1,39,0.96,48.1,1.9,0,default
04-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,24,2,1,2,19,0.74,36.5,2.06,0,default
05-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,21,1,0,1,19,0.66,31.3,2.24,0,default
06-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,37,3,1,2,31,0.95,46.2,0.61,0,default
07-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,28,1,1,1,25,0.71,67.8,1.66,0,default
08-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,36,3,2,2,29,0.9,52.6,1.83,0,default
09-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,38,3,2,2,31,0.88,47.0,2.47,0,default
10-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,26,1,1,1,23,0.65,39.4,2.25,0,default
11-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,32,2,0,2,28,0.69,24.9,1.23,0,default
12-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,37,2,4,2,29,0.98,45.3,2.32,0,default
13-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,35,3,4,2,26,0.68,36.6,2.01,0,default
14-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,24,1,1,2,20,0.93,50.4,1.68,0,default
15-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,28,1,2,1,24,0.66,52.7,1.0,0,default
16-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,29,0,1,0,28,0.63,44.9,1.21,0,default
17-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,39,2,2,3,32,0.91,41.9,1.57,0,default
18-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,34,3,2,2,27,0.79,42.8,1.09,0,default
19-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,38,2,3,2,31,0.8,27.8,1.3,0,default
20-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,64,17,22,20,5,0.77,37.9,1.68,1,default
21-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,34,2,3,1,28,0.86,45.4,2.79,0,default
22-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,50,12,14,18,6,0.85,45.0,1.68,1,default
23-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,40,15,13,13,0,0.9,32.5,1.74,1,default
24-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,44,15,12,18,0,0.98,22.0,2.15,1,default
25-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,50,15,12,15,8,0.86,30.3,0.93,1,default
26-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,47,14,14,17,2,0.85,39.6,0.8,1,default
27-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,48,17,11,16,4,1.0,23.2,1.5,1,default
28-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,49,15,13,20,1,0.78,40.4,1.12,1,default
29-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,49,19,16,15,0,0.82,33.6,1.47,1,default
30-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,33,1,0,2,30,0.84,36.1,0.9,0,default
31-01-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,45,3,6,3,33,0.76,32.1,2.53,0,default
01-02-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,34,3,1,2,28,0.95,56.7,1.28,0,default
02-02-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,24,1,1,1,21,0.9,34.2,1.37,0,default
03-02-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,26,2,1,1,22,0.67,41.3,1.69,0,default
04-02-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,23,1,2,0,20,0.82,46.7,1.46,0,default
05-02-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,19,1,0,0,18,0.75,23.7,2.36,0,default
06-02-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,32,1,0,1,30,0.94,26.8,1.01,0,default
07-02-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,33,1,3,2,27,0.97,37.9,0.6,0,default
08-02-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,28,1,1,1,25,0.65,31.5,1.92,0,default
09-02-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,23,1,1,1,20,0.98,35.3,2.4,0,default
10-02-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,36,2,5,2,27,0.78,39.7,1.62,0,default
11-02-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,24,1,0,1,22,0.92,30.8,1.43,0,default
12-02-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,37,2,2,1,32,0.79,29.1,0.88,0,default
13-02-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,40,3,2,2,33,0.83,39.2,1.33,0,default
14-02-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,38,4,2,5,27,0.85,33.4,1.18,0,default
15-02-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,28,0,4,1,23,0.74,29.7,1.05,0,default
16-02-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,27,1,2,1,23,0.9,26.4,1.66,0,default
17-02-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,31,1,0,1,29,0.87,40.5,2.78,0,default
18-02-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,23,1,0,2,20,0.59,20.4,2.31,0,default
19-02-2026,PVT_FMH_GGN,Fortis Memorial Research Institute,private,Gurugram,Haryana,38,0,1,0,37,0.84,31.3,1.8,0,default
24-08-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,30,3,3,1,23,1.0,43.3,0.79,0,default
25-08-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,39,3,1,0,35,0.76,34.8,1.59,0,default
26-08-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,39,4,2,1,32,0.7,42.8,0.68,0,default
27-08-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,38,4,3,3,28,0.94,37.3,1.99,0,default
28-08-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,39,6,3,3,27,0.88,45.5,2.73,1,default
29-08-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,49,9,4,5,31,0.87,30.5,1.92,1,default
30-08-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,27,4,3,4,16,0.76,40.7,2.17,0,default
31-08-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,37,6,5,2,24,0.78,19.3,2.37,1,default
01-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,42,7,3,1,31,0.77,41.9,1.42,1,default
02-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,42,4,3,2,33,0.94,29.8,0.71,0,default
03-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,31,4,3,2,22,0.9,30.4,1.12,0,default
04-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,24,2,2,1,19,0.98,43.9,1.45,0,default
05-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,32,3,2,5,22,0.69,32.7,0.93,0,default
06-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,36,5,2,2,27,0.73,40.3,1.99,0,default
07-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,46,8,4,4,30,0.88,27.2,2.58,1,default
08-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,33,5,2,1,25,0.9,40.1,2.31,0,default
09-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,34,5,4,1,24,0.82,35.3,2.1,0,default
10-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,35,4,5,4,22,0.7,42.1,2.06,0,default
11-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,33,4,2,1,26,0.83,35.3,0.74,0,default
12-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,22,3,2,1,16,0.91,31.9,1.38,0,default
13-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,42,8,4,3,27,0.73,30.9,1.34,1,default
14-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,34,5,4,2,23,0.98,44.1,0.93,0,default
15-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,40,8,6,3,23,1.0,27.6,0.87,1,default
16-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,46,5,9,4,28,0.97,47.9,0.97,1,default
17-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,35,5,2,1,27,0.79,37.9,2.26,0,default
18-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,42,5,4,2,31,0.93,34.6,0.87,0,default
19-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,31,2,3,0,26,0.73,43.6,1.29,0,default
20-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,35,3,2,1,29,0.85,35.6,0.61,0,default
21-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,32,3,2,2,25,0.9,34.7,1.17,0,default
22-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,40,8,3,4,25,0.75,28.3,1.66,1,default
23-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,33,8,3,3,19,0.94,34.2,0.93,1,default
24-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,39,5,2,3,29,0.86,31.2,1.61,0,default
25-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,39,8,7,2,22,0.79,35.4,1.11,1,default
26-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,37,5,3,2,27,0.88,32.2,0.85,0,default
27-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,28,3,3,0,22,0.77,18.4,1.31,0,default
28-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,32,4,4,1,23,1.0,43.5,1.35,0,default
29-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,34,5,8,3,18,0.82,51.1,1.02,1,default
30-09-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,34,5,6,2,21,0.8,27.5,2.27,0,default
01-10-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,35,1,0,0,34,0.65,29.7,1.87,0,default
02-10-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,32,1,4,0,27,0.76,26.3,2.59,0,default
03-10-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,33,3,2,1,27,0.81,39.5,2.26,0,default
04-10-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,33,2,2,1,28,0.99,48.9,2.44,0,default
05-10-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,36,4,1,1,30,0.68,24.3,1.68,0,default
06-10-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,38,3,1,1,33,0.62,28.5,1.33,0,default
07-10-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,42,4,2,4,32,0.67,24.6,1.16,0,default
08-10-2025,PVT_MAX_SAK,Max Super Speciality Hospital,private,New Delhi,Delhi,30,2,2,1,25,0.89,37.2,0.92,0,default
